Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL444633,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,IC50,,
CHEMBL712,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,IC50,,
CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,IC50,,
CHEMBL354062,CC(=O)Oc1ccc2[nH]c(S(N)(=O)=O)cc2c1,IC50,11,nM
CHEMBL107266,NS(=O)(=O)c1ccc(SCCO)c(F)c1,IC50,9,nM
CHEMBL543604,CCCNC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl,IC50,1.5,nM
CHEMBL3747368,NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1ccc(F)c(NS(N)(=O)=O)c1,IC50,3800,nM
CHEMBL3746031,NC(=O)c1c(Oc2cccc(CS(N)(=O)=O)c2)cc(F)c(F)c1Nc1ccc(I)cc1F,IC50,2200,nM
CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,IC50,,
CHEMBL2107797,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,IC50,,
CHEMBL1088151,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,IC50,,
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,IC50,,
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,IC50,,
CHEMBL16073,CCOc1ccc(NC(C)=O)cc1,IC50,,
CHEMBL469912,COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,IC50,,
CHEMBL1098349,CCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1cccc(F)c1,IC50,19.9,nM
CHEMBL1099137,COCCCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1c(F)c(F)cc(F)c1F,IC50,10.6,nM
CHEMBL81977,NC(=O)c1cccc(N)c1,IC50,,
CHEMBL592131,N#Cc1ccc(Cn2cncn2)cc1-c1ccc(OS(N)(=O)=O)c(Cl)c1,IC50,86,nM
CHEMBL1256017,N=C(N)NCCCCNC(=N)N.O=S(=O)(O)O,IC50,,
CHEMBL4169670,O=C(/C=C/c1cn(S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccncc1,IC50,13500,nM
CHEMBL2092886,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@@H]2O,IC50,1.3,nM
CHEMBL63323,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,IC50,,
CHEMBL495778,C=C(C)C1(O)OC(=O)C=C1OC,IC50,,
CHEMBL32189,NCc1ccccn1,IC50,,
CHEMBL293492,O=C/C=C/c1ccccc1,IC50,,
CHEMBL1480987,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,IC50,,
CHEMBL657,CN(C)CCOC(c1ccccc1)c1ccccc1,IC50,,
CHEMBL4441746,NS(=O)(=O)Oc1ccc(-c2ccc3occc3c2)cc1,IC50,2600,nM
